*** Modify road map instructions:
*** Format the data in the following way:
*** CNN1,CNN2,method
*** CNN is the cnn of the node, and method=a/d, a is add, d is delete
*** Do not use space between commas
*** for example: 111,222,a
1917000,8371201,d
1917000,11956201,d
11956201,3242201,d
3242201,3242101,d
***3242101,33708000,d
909201,8371201,d
909201,10293000,d
8771101,9751000,d
9751000,25220000,d
5760000,12556202,d
5871000,167000,d
34021000,34022000,d
14016000,34022000,d
14016000,34148000,d
34023000,14016000,d
34026000,34023000,d
